Título,SalarioPromedio,España,CCAA,Mes,Nivel,Modalidad
Montador de conductos en madrid,20,SI,Madrid,abril,Básico,Presencial
Auxiliar administrativa,24,SI,Cataluna,abril,NA,Presencial
Técnico auxiliar de enfermería (t.c.a.e),16,SI,Comunidad Valenciana,mayo,FP/Bachiller,Presencial
Buscamos auxiliar de peluquería en cee,15,SI,Galicia,agosto,Básico,Presencial
Peón para industria metalúrgica,23,SI,Castilla Leon,mayo,FP/Bachiller,Presencial
Auxiliar de enfermeria,16,SI,Castilla Leon,febrero,Desconocido,Presencial
Senior engineer expert in sustainability,30,SI,Comunidad Valenciana,mayo,Doctorado,Presencial
Encofradores 1ª - 2ª y peones especialistas,24,SI,Asturias,mayo,Básico,Presencial
Calderero oficial de 1ª de taller,28,SI,Asturias,mayo,FP/Bachiller,Presencial
Fisioterapeuta,20,SI,Madrid,junio,Universidad,Presencial
Tornero oficial 2ª,23,SI,Madrid,abril,Universidad,Presencial
Administració - base de dades,24,SI,Andalucia,abril,Universidad,Presencial
Enfermero-a,23,SI,Madrid,abril,Universidad,Presencial
Fisioterapeuta,12,SI,Castilla la Mancha,abril,Universidad,Presencial
Oficial-a o técnico-a de mantenimiento industrial,13,SI,Madrid,abril,Básico,Presencial
Farmacéutico,6,SI,Navarra,abril,Universidad,Presencial
Ats-due,17,SI,Madrid,abril,Universidad,Presencial
Peón de línea carretillero,16,SI,Castilla la Mancha,abril,Básico,Presencial
Terapeuta ocupacional,20,SI,NA,abril,Desconocido,Presencial
Auxiliar de enfermería - gerocultor-a con discapacidad - centro de dia - residencia lleida,20,SI,Castilla Leon,abril,Básico,Presencial
Fisioterepauta residencia buendia,16,SI,Madrid,abril,NA,Presencial
Medico,24,SI,Castilla Leon,abril,Básico,Presencial
Gerocultor-a,27,SI,Andalucia,abril,FP/Bachiller,Presencial
Limpieza sector industrial-jornada parcial córdoba,21,SI,Madrid,abril,Básico,Presencial
Profesor para impartir matemáticas en la eso,16,SI,Castilla Leon,abril,Universidad,Presencial
Gerocultor-a para centro de mayores en san esteban de gormaz,21,SI,Madrid,abril,Básico,Presencial
Trabajador-a social,23,SI,Galicia,abril,NA,Presencial
Camarero-a de pisos - club la santa - lanzarote,14,SI,Comunidad Valenciana,abril,Básico,Presencial
Fisioterapeuta,20,SI,Castilla Leon,abril,Desconocido,Presencial
Mozo-a almacen- alcala la real (jaén),11,SI,Castilla Leon,abril,FP/Bachiller,Presencial
Auxiliar-gerocultor-a (h-m-x) centro de día san pedro del pinatar,34,SI,Madrid,abril,Universidad,Presencial
Enfermero-a para centro de mayores en san esteban de gormaz,30,SI,Cataluna,abril,Universidad,Presencial
Auxiliar de ayuda a domicilio con discapacidad (h-m-x) en bujalance (córdoba),32,SI,Cataluna,abril,Doctorado,Presencial
Electromecánico-a grupos electrógenos - vitoria,20,SI,Cataluna,abril,Básico,Presencial
Mozo-a almacen- carretillero-a- lucena (cordoba),25,SI,Cataluna,abril,FP/Bachiller,Presencial
Necesitamos limpiadoras para servicios en barcelona,21,SI,Castilla Leon,abril,Universidad,Presencial
Asesor-a comercial pymes cantabria,9,SI,Andalucia,abril,Básico,Presencial
Consultor comercial de petfood con conocimientos del mercado mexicano,24,SI,Pais Vasco,abril,FP/Bachiller,Presencial
"Mecánico-a oficial 1ª. 2ª, 3ª - cartagena (murcia) interinidad",25,SI,Comunidad Valenciana,abril,NA,Presencial
Vendedor-a tienda leroy merlín - maquinaria pequeña (marratxi),24,SI,Andalucia,abril,Básico,Presencial
Vendedor-a tienda leroy merlín - maquinaria pequeña (palma de mallorca),20,SI,Comunidad Valenciana,abril,FP/Bachiller,Presencial
Gerocultor-auxiliar de enfermería.,34,SI,Cataluna,abril,Universidad,Presencial
Camarero-a 40 horas a la semana - club la santa - lanzarote,23,SI,Madrid,abril,Universidad,Presencial
"Mecánico-a 1ª, 2ª o 3ª maquinaria - porriño (vigo)",22,SI,Andalucia,abril,NA,Presencial
Moza de almacén,8,SI,Andalucia,abril,FP/Bachiller,Presencial
Gerocultores para residencia de mayores,20,SI,Aragon,abril,Desconocido,Presencial
Buscamos barbero(x) en cee,20,SI,Extremadura,abril,Desconocido,Presencial
Mecanico vehiculos industriales,20,SI,Extremadura,abril,Desconocido,Presencial
Ayudante camarero-a 40 horas a la semana - club la santa - lanzarote,20,SI,Murcia,abril,Desconocido,Presencial
Tecnico informatico-audiovisual-redes,34,SI,Cataluna,abril,Universidad,Presencial
"Gerente de ventas, representante de ventas",34,SI,Cataluna,abril,Universidad,Presencial
Pintor de coches,17,SI,Murcia,abril,Universidad,Presencial
Mozo de almacén,19,SI,Andalucia,abril,Básico,Presencial
Oficial albañil,24,SI,Galicia,abril,Universidad,Presencial
Gerocultora,18,SI,Madrid,abril,NA,Presencial
Vendedor-a tienda leroy merlín - maquinaria pequeña (barajas),27,SI,Aragon,abril,Otros,Presencial
Técnico eléctrico,16,SI,Aragon,abril,FP/Bachiller,Presencial
Mecanico,27,SI,Asturias,abril,Otros,Presencial
Enfermero-a due con discapacidad - oliana,27,SI,Asturias,abril,Otros,Presencial
Medico,27,SI,Galicia,abril,Otros,Presencial
Enfermer@,27,SI,NA,abril,Otros,Presencial
