Título,Localización,Fecha,Salario,Formación,ID
Montador de conductos en madrid,Madrid - España,17/04/2024,"10,000 - 30,000",Estudios primarios completos,1825004973
Auxiliar administrativa,Tarragona - Cataluña - España,25/04/2024,23.000 - 26.000,Enseñanzas para la formación e…,1825229445
Técnico auxiliar de enfermería (t.c.a.e),Valencia - Comunidad Valenciana - España,07/05/2024,"1.335,97 - 1.335,97",Enseñanzas de grado medio de formación…,1826273953
Buscamos auxiliar de peluquería en cee,A Coruña - Galicia - España,27/08/2024,15.000 - 15.600,Estudios primarios completos,1826506878
Peón para industria metalúrgica,Palencia - Castilla Leon - España,29/05/2024,"22,000 - 24,000",Enseñanzas de grado medio de formación…,1826855538
Auxiliar de enfermeria,Valladolid - Castilla Leon - España,20/02/2025,16.000 - 17.000,Nivel de estudios desconocido,1838088160
Senior engineer expert in sustainability,Valencia - Comunidad Valenciana - España,02/05/2024,20 - 40,Doctorado universitario.,1826159062
Encofradores 1ª - 2ª y peones especialistas,Asturias - España,24/05/2024,23.000 - 25.000,Estudios primarios incompletos,1826712486
Calderero oficial de 1ª de taller,Asturias - España,30/05/2024,26.000 - 29.000,Enseñanzas de grado superior de…,1826893452
Fisioterapeuta,Madrid - España,05/06/2024,19.000 - 20.000,Enseñanzas universitarias de grado,1827047425
Tornero oficial 2ª,Madrid - España,04/04/2025,"22,000 - 24,000",Enseñanzas universitarias de grado,1839855378
"Operario departamento de corte, láser y doblado de chapa por control numérico.",Illes Balears - Baleares - España,04/04/2025,1.934.232 - 1.934.232,Estudios primarios completos,1839855408
Administració - base de dades,Cadiz - Andalucia - España,04/04/2025,"23.819,28 - 23.819,28",Enseñanzas universitarias de 1 er y 2º…,1839855377
Enfermero-a,Madrid - España,04/04/2025,"22,000 - 24,000",Enseñanzas universitarias de grado,1839855405
Fisioterapeuta,Toledo - Castilla la Mancha - España,04/04/2025,9.000 - 15.000,Enseñanzas universitarias de grado,1839856197
Oficial-a o técnico-a de mantenimiento industrial,Madrid - España,04/04/2025,24.000 - 2.400,Estudios primarios completos,1839856096
Farmacéutico,Navarra - España,04/04/2025,"1.065 - 1,120",Enseñanzas universitarias de grado,1839856116
Ats-due,Madrid - España,04/04/2025,16.576 - 18.000,Enseñanzas universitarias de grado,1839856139
Peón de línea carretillero,Toledo - Castilla la Mancha - España,04/04/2025,15.000 - 17.000,Estudios primarios completos,1839856119
Terapeuta ocupacional,España,04/04/2025,Sin especificar,Nivel de estudios desconocido,1839841857
Auxiliar de enfermería - gerocultor-a con discapacidad - centro de dia - residencia lleida,Burgos - Castilla Leon - España,04/04/2025,18.000 - 23.000,Estudios primarios completos,1839859116
Fisioterepauta residencia buendia,Madrid - España,04/04/2025,1.296 - 1.415 Programas para la formación e inserción…,,1839858479
Medico,Burgos - Castilla Leon - España,04/04/2025,23.560 - 24.000,Estudios primarios completos,1839853350
Gerocultor-a,Cadiz - Andalucia - España,04/04/2025,18.000 - 36.000,Enseñanzas de grado medio de formación…,1839857664
Limpieza sector industrial-jornada parcial córdoba,Madrid - España,04/04/2025,18.000 - 24.000,Estudios primarios completos,1839857881
Profesor para impartir matemáticas en la eso,Burgos - Castilla Leon - España,04/04/2025,16.000 - 17.000,Enseñanzas universitarias de 1 er y 2º…,1839853170
Gerocultor-a para centro de mayores en san esteban de gormaz,Madrid - España,04/04/2025,15.000 - 27.000,Estudios primarios incompletos,1839853641
Trabajador-a social,Pontevedra - Galicia - España,04/04/2025,21.000 - 25.000,Enseñanzas para la formación e…,1839852717
