Título,Localización,Fecha,Salario,Formación,Salario_limpio,Salario_min,Salario_max,SalarioPromedio,España,CCAA
Montador de conductos en madrid,Madrid - España,17/04/2024,"10,000 - 30,000",Estudios primarios completos,10.000-30.000,10,30,20,SI,Madrid
Auxiliar administrativa,Tarragona - Cataluña - España,25/04/2024,23.000 - 26.000,Enseñanzas para la formación e…,23000-26000,23000,26000,24,SI,Cataluña
Técnico auxiliar de enfermería (t.c.a.e),Valencia - Comunidad Valenciana - España,07/05/2024,"1.335,97 - 1.335,97",Enseñanzas de grado medio de formación…,1335.97-1335.97,1336,1336,16,SI,Comunidad Valenciana
Buscamos auxiliar de peluquería en cee,A Coruña - Galicia - España,27/08/2024,15.000 - 15.600,Estudios primarios completos,15000-15600,15000,15600,15,SI,Galicia
Peón para industria metalúrgica,Palencia - Castilla Leon - España,29/05/2024,"22,000 - 24,000",Enseñanzas de grado medio de formación…,22.000-24.000,22,24,23,SI,NA
Auxiliar de enfermeria,Valladolid - Castilla Leon - España,20/02/2025,16.000 - 17.000,Nivel de estudios desconocido,16000-17000,16000,17000,16,SI,NA
Senior engineer expert in sustainability,Valencia - Comunidad Valenciana - España,02/05/2024,20 - 40,Doctorado universitario.,20-40,20,40,30,SI,Comunidad Valenciana
Encofradores 1ª - 2ª y peones especialistas,Asturias - España,24/05/2024,23.000 - 25.000,Estudios primarios incompletos,23000-25000,23000,25000,24,SI,Asturias
Calderero oficial de 1ª de taller,Asturias - España,30/05/2024,26.000 - 29.000,Enseñanzas de grado superior de…,26000-29000,26000,29000,28,SI,Asturias
Fisioterapeuta,Madrid - España,05/06/2024,19.000 - 20.000,Enseñanzas universitarias de grado,19000-20000,19000,20000,20,SI,Madrid
Tornero oficial 2ª,Madrid - España,04/04/2025,"22,000 - 24,000",Enseñanzas universitarias de grado,22.000-24.000,22,24,23,SI,Madrid
"Operario departamento de corte, láser y doblado de chapa por control numérico.",Illes Balears - Baleares - España,04/04/2025,1.934.232 - 1.934.232,Estudios primarios completos,1934232-1934232,1934232,1934232,1934,SI,Baleares
Administració - base de dades,Cadiz - Andalucia - España,04/04/2025,"23.819,28 - 23.819,28",Enseñanzas universitarias de 1 er y 2º…,23819.28-23819.28,23819,23819,24,SI,NA
Enfermero-a,Madrid - España,04/04/2025,"22,000 - 24,000",Enseñanzas universitarias de grado,22.000-24.000,22,24,23,SI,Madrid
Fisioterapeuta,Toledo - Castilla la Mancha - España,04/04/2025,9.000 - 15.000,Enseñanzas universitarias de grado,9000-15000,9000,15000,12,SI,Castilla la Mancha
Oficial-a o técnico-a de mantenimiento industrial,Madrid - España,04/04/2025,24.000 - 2.400,Estudios primarios completos,24000-2400,24000,2400,13,SI,Madrid
Farmacéutico,Navarra - España,04/04/2025,"1.065 - 1,120",Enseñanzas universitarias de grado,1065-1.120,1065,1,6,SI,Navarra
Ats-due,Madrid - España,04/04/2025,16.576 - 18.000,Enseñanzas universitarias de grado,16576-18000,16576,18000,17,SI,Madrid
Peón de línea carretillero,Toledo - Castilla la Mancha - España,04/04/2025,15.000 - 17.000,Estudios primarios completos,15000-17000,15000,17000,16,SI,Castilla la Mancha
Terapeuta ocupacional,España,04/04/2025,Sin especificar,Nivel de estudios desconocido,,NA,NA,NA,SI,NA
Auxiliar de enfermería - gerocultor-a con discapacidad - centro de dia - residencia lleida,Burgos - Castilla Leon - España,04/04/2025,18.000 - 23.000,Estudios primarios completos,18000-23000,18000,23000,20,SI,NA
Fisioterepauta residencia buendia,Madrid - España,04/04/2025,1.296 - 1.415 Programas para la formación e inserción…,NA,1296-1415,1296,1415,16,SI,Madrid
Medico,Burgos - Castilla Leon - España,04/04/2025,23.560 - 24.000,Estudios primarios completos,23560-24000,23560,24000,24,SI,NA
Gerocultor-a,Cadiz - Andalucia - España,04/04/2025,18.000 - 36.000,Enseñanzas de grado medio de formación…,18000-36000,18000,36000,27,SI,NA
Limpieza sector industrial-jornada parcial córdoba,Madrid - España,04/04/2025,18.000 - 24.000,Estudios primarios completos,18000-24000,18000,24000,21,SI,Madrid
Profesor para impartir matemáticas en la eso,Burgos - Castilla Leon - España,04/04/2025,16.000 - 17.000,Enseñanzas universitarias de 1 er y 2º…,16000-17000,16000,17000,16,SI,NA
Gerocultor-a para centro de mayores en san esteban de gormaz,Madrid - España,04/04/2025,15.000 - 27.000,Estudios primarios incompletos,15000-27000,15000,27000,21,SI,Madrid
Trabajador-a social,Pontevedra - Galicia - España,04/04/2025,21.000 - 25.000,Enseñanzas para la formación e…,21000-25000,21000,25000,23,SI,Galicia
Camarero-a de pisos - club la santa - lanzarote,Alicante - Comunidad Valenciana - España,04/04/2025,12.000 - 15.000,Estudios primarios completos,12000-15000,12000,15000,14,SI,Comunidad Valenciana
Fisioterapeuta,Valladolid - Castilla Leon - España,04/04/2025,16.000 - 25.000,Nivel de estudios desconocido,16000-25000,16000,25000,20,SI,NA
Mozo-a almacen- alcala la real (jaén),Leon - Castilla Leon - España,04/04/2025,11.026 - 11.030,Enseñanzas de grado medio de música y…,11026-11030,11026,11030,11,SI,NA
Auxiliar-gerocultor-a (h-m-x) centro de día san pedro del pinatar,Madrid - España,04/04/2025,34.000 - 34.000,Enseñanzas universitarias de 1 er y 2º…,34000-34000,34000,34000,34,SI,Madrid
Enfermero-a para centro de mayores en san esteban de gormaz,Barcelona - Cataluña - España,04/04/2025,29.300 - 30.008,Enseñanzas universitarias de grado,29300-30008,29300,30008,30,SI,Cataluña
Auxiliar de ayuda a domicilio con discapacidad (h-m-x) en bujalance (córdoba),Barcelona - Cataluña - España,04/04/2025,31.300 - 32.490,Doctorado universitario.,31300-32490,31300,32490,32,SI,Cataluña
Electromecánico-a grupos electrógenos - vitoria,Barcelona - Cataluña - España,04/04/2025,"19.719,86 - 19.719,86",Estudios primarios completos,19719.86-19719.86,19720,19720,20,SI,Cataluña
Mozo-a almacen- carretillero-a- lucena (cordoba),Barcelona - Cataluña - España,04/04/2025,20.000 - 30.000,Enseñanzas de bachillerato,20000-30000,20000,30000,25,SI,Cataluña
Necesitamos limpiadoras para servicios en barcelona,Leon - Castilla Leon - España,04/04/2025,1.700 - 1.800,Enseñanzas universitarias de 1 er y 2º…,1700-1800,1700,1800,21,SI,NA
Asesor-a comercial pymes cantabria,Sevilla - Andalucia - España,04/04/2025,"1.380 - 16.575,96",Estudios primarios completos,1380-16575.96,1380,16576,9,SI,NA
Consultor comercial de petfood con conocimientos del mercado mexicano,Vizcaya - Pais Vasco - España,04/04/2025,18.000 - 30.000,Enseñanzas de bachillerato,18000-30000,18000,30000,24,SI,NA
"Mecánico-a oficial 1ª. 2ª, 3ª - cartagena (murcia) interinidad",Valencia - Comunidad Valenciana - España,04/04/2025,20.000 - 30.000 Primera etapa de educación secundaria…,NA,20000-30000,20000,30000,25,SI,Comunidad Valenciana
Vendedor-a tienda leroy merlín - maquinaria pequeña (marratxi),Malaga - Andalucia - España,04/04/2025,"23.753,28 - 23.753,28",Estudios primarios incompletos,23753.28-23753.28,23753,23753,24,SI,NA
Vendedor-a tienda leroy merlín - maquinaria pequeña (palma de mallorca),Valencia - Comunidad Valenciana - España,04/04/2025,18.000 - 22.000,Enseñanzas de bachillerato,18000-22000,18000,22000,20,SI,Comunidad Valenciana
